0001,國立臺灣大學,中國文學系,國x1.50 英x1.25 歷x1.25 地x1.00 數Bx1.00,24,299.75,國文 52,309.05,-------,-------,-------,-------
0002,國立臺灣大學,外國語文學系,英x2.00 國x1.25 歷x1.00 地x1.00,50,278.50,,-------,-------,-------,-------,-------
0003,國立臺灣大學,歷史學系,國x1.00 英x1.00 歷x1.00 地x1.00 公x1.00,27,258.00,國文 49,271.35,-------,-------,-------,-------
0004,國立臺灣大學,哲學系,國x1.00 英x1.00 歷x1.00 公x1.00,15,199.00,,-------,-------,-------,-------,-------
0005,國立臺灣大學,人類學系,英x1.50 歷x1.00 國x1.00 地x1.00 公x1.00,23,285.50,英文 51 歷史 54,306.90,-------,-------,-------,-------
0006,國立臺灣大學,圖書資訊學系,國x1.25 英x1.25 歷x1.00 公x1.00,16,235.25,,-------,-------,-------,-------,-------
0007,國立臺灣大學,日本語文學系,英x1.50 國x1.50 歷x1.00 地x1.00 公x1.00,25,311.50,,332.20,-------,-------,-------,-------
0010,國立臺灣大學,戲劇學系(男),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,11,288.00,,299.65,-------,-------,-------,-------
0011,國立臺灣大學,戲劇學系(女),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,8,296.00,,-------,-------,-------,-------,-------
0012,國立臺灣大學,數學系,數Ax1.50 數甲x1.50 物x1.00 化x1.00 英x1.00,21,235.50,,-------,-------,-------,-------,-------
0013,國立臺灣大學,物理學系,物x1.00 數甲x1.00 英x1.00 化x1.00 國x1.00,23,235.00,物理 39,-------,-------,-------,-------,-------
0014,國立臺灣大學,化學系,化x1.00 英x1.00 數甲x1.00 物x1.00 國x1.00,29,237.00,化學 50,-------,-------,-------,-------,-------
0015,國立臺灣大學,地質科學系,數甲x1.00 英x1.00 化x1.00 物x1.00 國x1.00,14,208.00,數學甲 30,-------,-------,-------,-------,-------
0016,國立臺灣大學,心理學系,數甲x1.00 英x1.00 國x1.00 生x1.00 化x1.00,37,239.00,,-------,-------,-------,-------,-------
0017,國立臺灣大學,地理環境資源學系A組,數甲x1.00 物x1.00 化x1.00,12,118.00,"數學甲 41
物理 43",-------,-------,-------,-------,-------
0020,國立臺灣大學,地理環境資源學系B組,地x1.25 公x1.00 數Bx1.00,6,184.00,,-------,-------,-------,-------,-------
0021,國立臺灣大學,大氣科學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,14,216.00,數學甲 35,-------,-------,-------,-------,-------
0022,國立臺灣大學,政治學系政治理論組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,25,292.75,,-------,-------,-------,-------,-------
0023,國立臺灣大學,政治學系國際關係組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,27,301.75,英文 58,312.35,-------,-------,-------,-------
